标题,年份,DOI
"Data-Centric Governance",2023,"10.48550/ARXIV.2302.07872"
"Data-Centric Safety and Ethical Measures for Data and AI Governance",2025,"10.48550/ARXIV.2506.10217"
"Mapping and Comparing Data Governance Frameworks: A benchmarking exercise to inform global data governance deliberations",2023,"10.48550/ARXIV.2302.13731"
"The Importance of AI Data Governance in Large Language Models",2025,"10.3390/BDCC9060147"
"Data Quality in the Age of AI: A Review of Governance, Ethics, and the FAIR Principles",2025,"10.3390/DATA10120201"
"Towards Agile and Transparent Data Management: New Generative AI-Driven Tools for Data Governance",2025,"10.1145/3748699.3749768"
"AI-Assisted Data Governance with Data Mesh Manager",2025,"10.1109/ICWS67624.2025.00126"
"Harmonizing AI Data Governance: Profiling ISO/IEC 5259 to Meet the Requirements of the EU AI Act",2024,"10.3233/FAIA241270"
"From Data Governance by design to Data Governance as a Service: A transformative human-centric data governance framework",2023,"10.1145/3616131.3616145"
"Integrated governance in data ecosystems: A conceptual framework consolidating collaborative and data governance",2026,"10.1016/J.GIQ.2026.102107"
"Enabling Dynamic Data Governance in Science: Design, Implementation, and Future Directions of the Modern Data Governance Framework",2024,"10.1109/IGARSS53475.2024.10640434"
"Formulating Analytical Governance Frameworks: An Integration of Data and AI Governance Approaches",2023,"10.1145/3628454.3628461"
"Privacy Engineering in the Data Mesh: Towards a Decentralized Data Privacy Governance Framework",2023,"10.1007/978-981-97-0989-2_21"
"Government data governance framework based on a data middle platform",2022,"10.1108/AJIM-03-2021-0068"
"Data Matters: A Strategic Action Framework for Data Governance",2022,"10.1016/J.IM.2022.103642"
"BIG: Big Data Intelligence Governance Framework",2022,"10.1109/BIGDATA55660.2022.10020244"
"Impact of a Master Data Management Framework to Trigger Data Governance Maturity: A Systematic Literature Review",2025,"10.1109/ACCESS.2025.3627855"
"Network data sharing: a governance framework for ensuring data sovereignty and privacy compliance",2025,"10.1364/JOCN.559523"
"Beyond high-tech versus low-tech: A tentative framework for sustainable urban data governance",2023,"10.1177/20539517231180583"
"Spatial data trusts: an emerging governance framework for sharing spatial data",2023,"10.1080/17538947.2023.2200042"
