rank,code,market,tech_score,fund_score,buffett_score,total_score,rsi,roe,net_profit,close,date
1,001221,主板A股,5,6,10,21,28.9029,0.2301,483000000.0,61.75,2026-04-03
2,600809,主板A股,5,6,9,20,24.0855,0.3182,11405000000.0,138.88,2026-04-10
3,300760,创业板,4,6,10,20,37.0028,0.2158,8136000000.0,157.94,2026-04-13
4,300832,创业板,6,5,9,20,25.2874,0.1381,1205000000.0,45.29,2026-04-13
5,000568,主板A股,3,6,10,19,36.0847,0.22,10762000000.0,102.43,2026-04-13
6,300533,创业板,4,6,9,19,30.2632,0.3304999999999999,502000000.0,25.55,2026-04-13
7,000423,主板A股,4,5,10,19,38.0763,0.1666,1739000000.0,54.6,2026-04-13
8,300641,创业板,4,6,9,19,34.6484,0.22,675000000.0,18.89,2026-04-13
9,301683,创业板,4,5,10,19,30.9605,0.1884,207000000.0,112.85,2026-04-10
10,001386,主板A股,6,5,8,19,18.7209,0.1042,1062000000.0,18.78,2026-04-03
11,002223,中小板,4,5,9,18,34.5034,0.1125,1466000000.0,32.33,2026-04-13
12,301680,创业板,3,6,9,18,41.8352,0.2410999999999999,179000000.0,101.91,2026-04-10
13,600563,主板A股,4,6,8,18,42.0067,0.2148999999999999,1192000000.0,120.0,2026-04-10
14,300896,创业板,3,5,10,18,36.6378,0.1701,1291000000.0,113.83,2026-04-13
15,000920,主板A股,5,5,8,18,17.7655,0.1139,221000000.0,10.81,2026-04-03
16,301061,创业板,3,5,10,18,36.0312,0.1705,658000000.0,70.35,2026-04-13
17,600329,主板A股,4,6,8,18,42.2928,0.2557,2131000000.0,41.12,2026-04-10
18,002847,中小板,5,6,7,18,25.2922,0.3682,748000000.0,55.6,2026-04-13
19,000828,主板A股,6,4,8,18,21.4671,0.0823,824000000.0,9.87,2026-04-03
20,600566,主板A股,5,4,9,18,28.8678,0.0712,1022000000.0,25.13,2026-04-10
21,000997,主板A股,5,5,8,18,23.636,0.1292,918000000.0,19.58,2026-04-03
22,001301,主板A股,6,4,7,17,26.2035,0.1094999999999999,711000000.0,70.23,2026-04-03
23,001391,主板A股,5,3,9,17,26.702,0.1001,2585000000.0,5.2,2026-04-03
24,002159,中小板,4,5,8,17,32.6463,0.1017,143000000.0,17.76,2026-04-13
25,603199,主板A股,4,5,8,17,32.4374,0.1355,213000000.0,37.79,2026-04-10
26,000596,主板A股,3,5,9,17,39.4594,0.1548,3960000000.0,103.36,2026-04-13
27,002027,中小板,3,5,9,17,35.9845,0.2373999999999999,4240000000.0,6.22,2026-04-13
28,002372,中小板,3,5,9,17,34.0056,0.149,741000000.0,10.55,2026-04-13
29,000792,主板A股,1,6,10,17,69.2896,0.223,8476000000.000001,38.56,2026-04-13
30,300979,创业板,4,4,9,17,26.1459,0.1896999999999999,3207000000.0,42.66,2026-04-13
31,301609,创业板,4,4,9,17,38.6084,0.1124,87321600.0,46.01,2026-04-10
32,605499,主板A股,4,6,7,17,34.145,0.5161,4415000000.0,200.12,2026-04-10
33,002558,中小板,3,5,9,17,38.9233,0.1023,1417000000.0,31.52,2026-04-13
34,600177,主板A股,6,4,7,17,26.0866,0.0558,2349000000.0,7.33,2026-04-10
35,001380,主板A股,5,4,8,17,23.6063,0.1531,275000000.0,19.28,2026-04-03
36,002959,中小板,6,4,7,17,26.2098,0.1334,393000000.0,42.43,2026-04-13
37,601827,主板A股,4,5,8,17,33.5252,0.1061,1231000000.0,8.01,2026-04-10
38,000888,主板A股,4,4,9,17,32.0847,0.0875,234000000.0,12.25,2026-04-03
39,600054,主板A股,4,4,9,17,31.4907,0.0537,253000000.0,12.29,2026-04-10
40,001376,主板A股,5,4,8,17,21.5283,0.1165,132000000.0,14.65,2026-04-03
41,600132,主板A股,5,6,6,17,26.71,0.8168000000000001,1231000000.0,55.07,2026-04-10
42,000915,主板A股,3,5,9,17,37.5238,0.1379,408000000.0,31.17,2026-04-03
43,603893,主板A股,0,6,10,16,78.6569,0.2579,1040000000.0,170.02,2026-04-10
44,603259,主板A股,0,6,10,16,76.8749,0.2855999999999999,19151000000.0,106.33,2026-04-10
45,002517,中小板,0,6,10,16,42.7955,0.2078,1583000000.0,18.17,2026-04-13
