rank,code,market,tech_score,fund_score,buffett_score,total_score,rsi,roe,net_profit,close,date
1,300760,创业板,4,6,5,15,37.0028,0.2158,8136000000.0,157.94,2026-04-13
2,300832,创业板,6,5,4,15,25.2874,0.1381,1205000000.0,45.29,2026-04-13
3,300533,创业板,4,6,5,15,30.2632,0.3304999999999999,502000000.0,25.55,2026-04-13
4,301680,创业板,3,6,5,14,41.8352,0.2410999999999999,179000000.0,101.91,2026-04-10
5,300641,创业板,4,6,4,14,34.6484,0.22,675000000.0,18.89,2026-04-13
6,301683,创业板,4,5,5,14,30.9605,0.1884,207000000.0,112.85,2026-04-10
7,300896,创业板,3,5,5,13,36.6378,0.1701,1291000000.0,113.83,2026-04-13
8,300979,创业板,4,4,5,13,26.1459,0.1896999999999999,3207000000.0,42.66,2026-04-13
9,301061,创业板,3,5,5,13,36.0312,0.1705,658000000.0,70.35,2026-04-13
10,301682,创业板,3,5,4,12,38.5433,0.1178999999999999,319000000.0,112.55,2026-04-10
11,301609,创业板,4,4,4,12,38.6084,0.1124,87321600.0,46.01,2026-04-10
12,301109,创业板,4,4,4,12,31.361,0.094,717000000.0,15.28,2026-04-10
13,300795,创业板,0,6,5,11,48.1177,0.2142,137000000.0,11.83,2026-04-13
14,301345,创业板,0,6,5,11,64.7041,0.2403,816000000.0,230.6,2026-04-10
15,300492,创业板,2,6,3,11,23.4788,0.7757,249000000.00000003,52.25,2026-04-13
16,300394,创业板,0,6,5,11,62.7854,0.4191,2017000000.0,351.0,2026-04-13
17,301033,创业板,3,4,4,11,39.2077,0.1043,75854000.0,58.52,2026-04-13
18,300308,创业板,0,6,5,11,84.7708,0.4384,10797000000.0,738.0,2026-04-13
19,301317,创业板,1,5,5,11,73.8918,0.3074,379000000.0,57.0,2026-04-10
20,300033,创业板,0,6,5,11,71.3349,0.3853999999999999,3204999999.9999995,235.06,2026-04-13
21,300910,创业板,0,6,5,11,39.1197,0.2098999999999999,736000000.0,49.29,2026-04-13
22,300628,创业板,0,6,5,11,84.8819,0.2139,1958000000.0,36.09,2026-04-13
23,301338,创业板,3,4,4,11,40.7211,0.0798,121000000.0,160.44,2026-04-10
24,301301,创业板,4,3,4,11,38.8428,0.0968,769000000.0,10.46,2026-04-10
25,300274,创业板,1,6,4,11,45.8958,0.3126,13461000000.000002,134.24,2026-04-13
26,300456,创业板,0,6,5,11,70.9054,0.2527,1473000000.0,53.0,2026-04-13
27,300573,创业板,0,6,5,11,54.2324,0.3290999999999999,599000000.0,67.8,2026-04-13
28,300502,创业板,0,6,5,11,68.5102,0.552,6327000000.0,512.72,2026-04-13
29,300251,创业板,0,6,5,11,69.5071,0.2395,2336000000.0,16.29,2026-04-13
30,301595,创业板,6,2,3,11,23.2581,0.084,61448100.00000001,49.03,2026-04-10
31,301004,创业板,0,5,5,10,45.8642,0.1863,368000000.0,47.12,2026-04-13
32,300476,创业板,0,6,4,10,75.8092,0.3556,4312000000.0,298.15,2026-04-13
33,300770,创业板,0,5,5,10,55.7618,0.1747,660000000.0,39.92,2026-04-13
34,300693,创业板,0,6,4,10,59.1116,0.2415,476000000.0,46.99,2026-04-13
35,301031,创业板,0,5,5,10,62.9903,0.1892,242000000.0,146.14,2026-04-13
36,300009,创业板,0,5,5,10,56.3262,0.175,735000000.0,9.77,2026-04-13
37,300685,创业板,0,5,5,10,53.8265,0.1855,361000000.0,22.86,2026-04-13
38,301327,创业板,4,3,3,10,45.6498,0.0229,143000000.0,65.6,2026-04-10
39,300604,创业板,0,6,4,10,66.6572,0.2296,865000000.0,135.29,2026-04-13
40,301606,创业板,1,5,4,10,73.3769,0.226,705000000.0,76.1,2026-04-10
41,300181,创业板,0,5,5,10,42.0441,0.1805,510000000.0,15.47,2026-04-13
42,300548,创业板,0,5,5,10,81.547,0.1876,335000000.0,225.0,2026-04-13
43,301611,创业板,0,5,5,10,44.3027,0.1503999999999999,245000000.00000003,94.18,2026-04-10
44,300570,创业板,0,5,5,10,81.0341,0.1838,299000000.0,136.6,2026-04-13
45,300750,创业板,1,5,4,10,74.916,0.2491,72201000000.0,427.13,2026-04-13
46,300487,创业板,0,5,5,10,60.34,0.1571,652000000.0,70.63,2026-04-13
47,300908,创业板,0,5,4,9,61.755,0.1094999999999999,192000000.0,27.96,2026-04-13
48,300705,创业板,0,5,4,9,40.3685,0.1485,406000000.0,14.01,2026-04-13
49,300938,创业板,0,5,4,9,56.5428,0.124,196000000.0,40.2,2026-04-13
50,301155,创业板,4,2,3,9,32.4568,0.0622,347000000.0,66.06,2026-04-10
51,301200,创业板,0,5,4,9,71.8032,0.1498,824000000.0,181.82,2026-04-10
52,300882,创业板,0,5,4,9,65.6181,0.1328,164000000.0,23.22,2026-04-13
53,300627,创业板,0,5,4,9,54.0395,0.1304,493000000.0,33.56,2026-04-13
54,300718,创业板,0,5,4,9,62.5403,0.1115,188000000.0,72.32,2026-04-13
55,301589,创业板,0,5,4,9,58.6739,0.1197,445000000.0,166.93,2026-04-10
56,300453,创业板,0,5,4,9,48.3422,0.135,185000000.0,9.75,2026-04-13
57,301552,创业板,0,5,4,9,65.6979,0.1326,155000000.0,41.73,2026-04-10
58,300643,创业板,0,5,4,9,66.699,0.104,127000000.0,18.05,2026-04-13
59,301568,创业板,0,5,4,9,63.8717,0.1101999999999999,112000000.0,53.4,2026-04-10
60,300206,创业板,0,5,4,9,65.5528,0.1469,306000000.0,14.79,2026-04-13
61,300699,创业板,0,5,4,9,61.2352,0.1074,603000000.0,34.91,2026-04-13
62,300724,创业板,0,5,4,9,49.5365,0.2195,2688000000.0,109.55,2026-04-13
63,300140,创业板,4,3,2,9,33.7545,0.0630999999999999,871000000.0000001,6.34,2026-04-13
64,300113,创业板,0,5,4,9,57.8138,0.136,324000000.0,28.61,2026-04-13
65,300408,创业板,0,5,4,9,80.7238,0.1261999999999999,2618000000.0,61.5,2026-04-13
66,300893,创业板,0,5,4,9,50.449,0.2298,366000000.0,21.7,2026-04-13
