rank,code,market,tech_score,fund_score,buffett_score,total_score,rsi,roe,net_profit,close,date
1,300760,创业板,4,6,10,20,37.0028,0.2158,8136000000.0,157.94,2026-04-13
2,300832,创业板,6,5,9,20,25.2874,0.1381,1205000000.0,45.29,2026-04-13
3,300533,创业板,4,6,9,19,30.2632,0.3304999999999999,502000000.0,25.55,2026-04-13
4,300641,创业板,4,6,9,19,34.6484,0.22,675000000.0,18.89,2026-04-13
5,301683,创业板,4,5,10,19,30.9605,0.1884,207000000.0,112.85,2026-04-10
6,301680,创业板,3,6,9,18,41.8352,0.2410999999999999,179000000.0,101.91,2026-04-10
7,300896,创业板,3,5,10,18,36.6378,0.1701,1291000000.0,113.83,2026-04-13
8,301061,创业板,3,5,10,18,36.0312,0.1705,658000000.0,70.35,2026-04-13
9,300979,创业板,4,4,9,17,26.1459,0.1896999999999999,3207000000.0,42.66,2026-04-13
10,301609,创业板,4,4,9,17,38.6084,0.1124,87321600.0,46.01,2026-04-10
11,300795,创业板,0,6,10,16,48.1177,0.2142,137000000.0,11.83,2026-04-13
12,300394,创业板,0,6,10,16,62.7854,0.4191,2017000000.0,351.0,2026-04-13
13,301682,创业板,3,5,8,16,38.5433,0.1178999999999999,319000000.0,112.55,2026-04-10
14,300033,创业板,0,6,10,16,71.3349,0.3853999999999999,3204999999.9999995,235.06,2026-04-13
15,300456,创业板,0,6,10,16,70.9054,0.2527,1473000000.0,53.0,2026-04-13
16,300251,创业板,0,6,10,16,69.5071,0.2395,2336000000.0,16.29,2026-04-13
17,301345,创业板,0,6,9,15,64.7041,0.2403,816000000.0,230.6,2026-04-10
18,300770,创业板,0,5,10,15,55.7618,0.1747,660000000.0,39.92,2026-04-13
19,300308,创业板,0,6,9,15,84.7708,0.4384,10797000000.0,738.0,2026-04-13
20,300910,创业板,0,6,9,15,39.1197,0.2098999999999999,736000000.0,49.29,2026-04-13
21,301327,创业板,4,3,8,15,45.6498,0.0229,143000000.0,65.6,2026-04-10
22,301338,创业板,3,4,8,15,40.7211,0.0798,121000000.0,160.44,2026-04-10
23,300274,创业板,1,6,8,15,45.8958,0.3126,13461000000.000002,134.24,2026-04-13
24,300570,创业板,0,5,10,15,81.0341,0.1838,299000000.0,136.6,2026-04-13
25,300487,创业板,0,5,10,15,60.34,0.1571,652000000.0,70.63,2026-04-13
26,300573,创业板,0,6,9,15,54.2324,0.3290999999999999,599000000.0,67.8,2026-04-13
27,300502,创业板,0,6,9,15,68.5102,0.552,6327000000.0,512.72,2026-04-13
28,301109,创业板,4,4,7,15,31.361,0.094,717000000.0,15.28,2026-04-10
29,301595,创业板,6,2,7,15,23.2581,0.084,61448100.00000001,49.03,2026-04-10
30,301004,创业板,0,5,9,14,45.8642,0.1863,368000000.0,47.12,2026-04-13
31,300705,创业板,0,5,9,14,40.3685,0.1485,406000000.0,14.01,2026-04-13
32,300492,创业板,2,6,6,14,23.4788,0.7757,249000000.00000003,52.25,2026-04-13
33,301552,创业板,0,5,9,14,65.6979,0.1326,155000000.0,41.73,2026-04-10
34,300643,创业板,0,5,9,14,66.699,0.104,127000000.0,18.05,2026-04-13
35,301033,创业板,3,4,7,14,39.2077,0.1043,75854000.0,58.52,2026-04-13
36,301568,创业板,0,5,9,14,63.8717,0.1101999999999999,112000000.0,53.4,2026-04-10
37,300206,创业板,0,5,9,14,65.5528,0.1469,306000000.0,14.79,2026-04-13
38,300130,创业板,0,5,9,14,49.8014,0.108,469000000.00000006,23.24,2026-04-13
39,300685,创业板,0,5,9,14,53.8265,0.1855,361000000.0,22.86,2026-04-13
40,300604,创业板,0,6,8,14,66.6572,0.2296,865000000.0,135.29,2026-04-13
41,300634,创业板,0,5,9,14,65.2012,0.1016,291000000.0,26.04,2026-04-13
42,300628,创业板,0,6,8,14,84.8819,0.2139,1958000000.0,36.09,2026-04-13
43,301286,创业板,0,5,9,14,65.5898,0.1252,232000000.0,47.33,2026-04-10
44,300720,创业板,3,2,9,14,31.989,0.044,27618200.0,52.79,2026-04-13
45,301687,创业板,0,5,9,14,47.3486,0.1387,101000000.0,53.3,2026-04-10
46,300357,创业板,0,5,9,14,63.7125,0.138,345000000.0,26.26,2026-04-13
47,301538,创业板,0,5,9,14,64.5789,0.1448,195000000.0,81.66,2026-04-10
48,301606,创业板,1,5,8,14,73.3769,0.226,705000000.0,76.1,2026-04-10
49,300360,创业板,0,5,9,14,49.6128,0.1171,480000000.0,16.22,2026-04-13
50,300181,创业板,0,5,9,14,42.0441,0.1805,510000000.0,15.47,2026-04-13
51,301301,创业板,4,3,7,14,38.8428,0.0968,769000000.0,10.46,2026-04-10
52,300548,创业板,0,5,9,14,81.547,0.1876,335000000.0,225.0,2026-04-13
53,300750,创业板,1,5,8,14,74.916,0.2491,72201000000.0,427.13,2026-04-13
54,300286,创业板,0,5,9,14,43.0148,0.1025,205000000.0,25.08,2026-04-13
55,300824,创业板,0,5,9,14,55.6474,0.1564,114000000.0,10.33,2026-04-13
56,301077,创业板,0,5,9,14,62.3646,0.1071,130000000.0,27.66,2026-04-10
57,300127,创业板,0,5,9,14,58.6577,0.1214,178000000.0,30.24,2026-04-13
58,300841,创业板,0,4,9,13,59.0365,0.0542999999999999,189000000.0,58.6,2026-04-13
59,301373,创业板,0,4,9,13,72.0764,0.0841,137000000.0,82.58,2026-04-10
60,301186,创业板,0,4,9,13,68.9752,0.072,110000000.0,60.9,2026-04-10
61,301200,创业板,0,5,8,13,71.8032,0.1498,824000000.0,181.82,2026-04-10
62,300882,创业板,0,5,8,13,65.6181,0.1328,164000000.0,23.22,2026-04-13
63,300693,创业板,0,6,7,13,59.1116,0.2415,476000000.0,46.99,2026-04-13
64,300627,创业板,0,5,8,13,54.0395,0.1304,493000000.0,33.56,2026-04-13
65,301589,创业板,0,5,8,13,58.6739,0.1197,445000000.0,166.93,2026-04-10
66,300002,创业板,0,4,9,13,47.0033,0.099,724000000.0,9.49,2026-04-13
67,301363,创业板,0,4,9,13,53.9144,0.0579,208000000.0,26.09,2026-04-10
68,301317,创业板,1,5,7,13,73.8918,0.3074,379000000.0,57.0,2026-04-10
69,300833,创业板,0,4,9,13,57.3218,0.0553,134000000.0,34.1,2026-04-13
70,301031,创业板,0,5,8,13,62.9903,0.1892,242000000.0,146.14,2026-04-13
71,300699,创业板,0,5,8,13,61.2352,0.1074,603000000.0,34.91,2026-04-13
72,300724,创业板,0,5,8,13,49.5365,0.2195,2688000000.0,109.55,2026-04-13
73,300009,创业板,0,5,8,13,56.3262,0.175,735000000.0,9.77,2026-04-13
74,300113,创业板,0,5,8,13,57.8138,0.136,324000000.0,28.61,2026-04-13
75,300408,创业板,0,5,8,13,80.7238,0.1261999999999999,2618000000.0,61.5,2026-04-13
76,301550,创业板,0,4,9,13,70.0364,0.0785,140000000.0,167.79,2026-04-10
77,300054,创业板,0,5,8,13,62.1507,0.1283,720000000.0,51.68,2026-04-13
78,300951,创业板,0,4,9,13,61.0265,0.0612,144000000.0,37.68,2026-04-13
79,301050,创业板,0,4,9,13,58.0582,0.0504999999999999,157000000.0,46.92,2026-04-13
80,300866,创业板,0,5,8,13,73.5632,0.261,2545000000.0,116.36,2026-04-13
81,300039,创业板,0,4,9,13,40.6784,0.1079,187000000.0,5.89,2026-04-13
82,301029,创业板,0,4,9,13,78.2168,0.0988,417000000.0,26.12,2026-04-13
83,300751,创业板,3,4,6,13,34.4346,0.0853999999999999,663000000.0,213.1,2026-04-13
84,301616,创业板,0,4,9,13,68.2235,0.1447,181000000.0,49.29,2026-04-10
85,301551,创业板,0,4,9,13,55.0606,0.0863,217000000.0,29.66,2026-04-10
86,301367,创业板,0,4,9,13,53.0159,0.062,180000000.0,69.35,2026-04-10
87,300015,创业板,0,5,8,13,49.4283,0.1432,3115000000.0,9.62,2026-04-13
88,300695,创业板,0,4,9,13,67.3648,0.1288,350000000.0,73.2,2026-04-13
89,301548,创业板,0,4,9,13,65.0615,0.0676,102000000.0,71.11,2026-04-10
90,301509,创业板,0,4,9,13,61.2758,0.0474,103000000.0,43.46,2026-04-10
91,300993,创业板,0,4,9,13,51.2117,0.0742,111000000.0,12.34,2026-04-13
92,301658,创业板,4,2,7,13,32.2525,0.038,114000000.0,42.1,2026-04-10
93,301491,创业板,1,4,8,13,52.8179,0.1168,156000000.0,50.3,2026-04-10
94,301080,创业板,0,4,9,13,69.2723,0.0506,132000000.0,48.87,2026-04-10
95,300017,创业板,0,4,9,13,58.8703,0.0784,800000000.0,18.16,2026-04-13
96,301323,创业板,0,4,9,13,65.9872,0.0489,104000000.0,65.25,2026-04-10
97,301458,创业板,0,4,9,13,50.0783,0.0736,114000000.0,34.63,2026-04-10
98,301262,创业板,0,4,9,13,54.2976,0.0856,319000000.0,23.42,2026-04-10
99,301449,创业板,0,4,9,13,52.69,0.1639999999999999,92985100.0,76.71,2026-04-10
100,300304,创业板,0,5,8,13,47.9926,0.1452,467000000.0,13.05,2026-04-13
101,300445,创业板,0,4,9,13,56.2724,0.0837,104000000.0,20.34,2026-04-13
102,300777,创业板,0,4,9,13,67.587,0.0713,315000000.0,37.49,2026-04-13
103,301003,创业板,0,4,9,13,53.5432,0.0877999999999999,102000000.0,50.95,2026-04-13
104,301333,创业板,0,4,9,13,60.1339,0.0721,137000000.0,67.83,2026-04-10
105,300012,创业板,0,5,8,13,77.5537,0.1396,1016000000.0,15.44,2026-04-13
106,301566,创业板,0,4,9,13,57.6417,0.0902,126000000.0,20.4,2026-04-10
107,300452,创业板,0,5,8,13,40.3014,0.1369,133000000.0,14.62,2026-04-13
108,301600,创业板,0,4,9,13,55.1046,0.1056,136000000.0,103.22,2026-04-10
109,301371,创业板,0,4,9,13,53.1494,0.0576,325000000.0,22.85,2026-04-10
110,300595,创业板,0,5,8,13,45.5496,0.1003,480000000.0,14.11,2026-04-13
111,300820,创业板,0,4,8,12,51.4032,0.0781,193000000.0,46.01,2026-04-13
112,301047,创业板,0,4,8,12,54.9565,0.0260999999999999,148000000.0,72.98,2026-04-13
113,301571,创业板,0,4,8,12,69.1227,0.0668,126000000.0,68.88,2026-04-10
114,300771,创业板,0,3,9,12,48.9609,0.0421999999999999,82745100.0,13.73,2026-04-13
115,301330,创业板,0,4,8,12,51.7318,0.038,128000000.0,34.1,2026-04-10
116,300775,创业板,0,4,8,12,57.7073,0.0636,375000000.0,37.02,2026-04-13
117,300711,创业板,0,4,8,12,47.3044,0.1239,95813600.0,24.61,2026-04-13
118,300908,创业板,0,5,7,12,61.755,0.1094999999999999,192000000.0,27.96,2026-04-13
119,300938,创业板,0,5,7,12,56.5428,0.124,196000000.0,40.2,2026-04-13
120,300236,创业板,0,4,8,12,72.6168,0.0617999999999999,301000000.0,83.63,2026-04-13
121,301155,创业板,4,2,6,12,32.4568,0.0622,347000000.0,66.06,2026-04-10
122,300476,创业板,0,6,6,12,75.8092,0.3556,4312000000.0,298.15,2026-04-13
123,300435,创业板,0,4,8,12,55.1418,0.1127,336000000.0,26.81,2026-04-13
124,301498,创业板,0,5,7,12,42.7495,0.1172,513000000.0,51.36,2026-04-10
125,300718,创业板,0,5,7,12,62.5403,0.1115,188000000.0,72.32,2026-04-13
126,300163,创业板,0,2,10,12,45.7098,0.1821,96975200.0,4.57,2026-04-13
127,301507,创业板,0,4,8,12,50.2699,0.0724,114000000.0,14.21,2026-04-10
128,301508,创业板,0,4,8,12,53.6648,0.0764,152000000.0,29.43,2026-04-10
129,300406,创业板,0,4,8,12,46.659,0.0673,272000000.0,11.92,2026-04-13
130,301196,创业板,0,4,8,12,67.8221,0.0688,222000000.00000003,111.2,2026-04-10
131,300873,创业板,0,3,9,12,51.2311,0.0661,204000000.0,22.33,2026-04-13
132,301528,创业板,0,3,9,12,50.1451,0.0239,36246800.0,60.56,2026-04-10
133,301297,创业板,0,4,8,12,64.6458,0.0524,211000000.0,34.9,2026-04-10
134,301638,创业板,3,1,8,12,44.2132,0.0746,630000000.0,26.4,2026-04-10
135,301305,创业板,0,4,8,12,70.6691,0.0675,249000000.00000003,26.31,2026-04-10
136,301287,创业板,0,3,9,12,54.1091,0.0489,56712500.0,42.04,2026-04-10
137,301275,创业板,0,4,8,12,51.8738,0.0867,314000000.0,41.32,2026-04-10
138,301393,创业板,0,3,9,12,65.1978,0.043,99238300.0,54.56,2026-04-10
139,301267,创业板,0,4,8,12,57.8239,0.0736,434000000.0,17.17,2026-04-10
140,301162,创业板,0,4,8,12,38.0021,0.0969,130000000.0,62.35,2026-04-10
