rank,code,market,tech_score,fund_score,buffett_score,total_score,rsi,roe,net_profit,close,date
1,000997,主板A股,6,5,6,17,24.908,0.1292,918000000.0,19.58,2026-04-03
2,001221,主板A股,4,6,7,17,38.9775,0.2301,483000000.0,61.75,2026-04-03
3,001386,主板A股,6,5,5,16,26.6845,0.1042,1062000000.0,18.78,2026-04-03
4,000975,主板A股,1,6,8,15,50.5056,0.2155999999999999,2972000000.0,30.0,2026-04-03
5,000920,主板A股,5,5,5,15,29.1206,0.1139,221000000.0,10.81,2026-04-03
6,001301,主板A股,5,4,5,14,37.5276,0.1094999999999999,711000000.0,70.23,2026-04-03
7,603259,主板A股,0,6,8,14,,0.2855999999999999,19151000000.0,99.39,2026-04-17
8,000568,主板A股,0,6,8,14,,0.22,10762000000.0,100.24,2026-04-22
9,600988,主板A股,0,6,8,14,,0.2714,3082000000.0,43.42,2026-04-17
10,000958,主板A股,5,3,6,14,30.1291,0.0306,617000000.0,6.02,2026-04-03
11,600660,主板A股,0,6,8,14,,0.2556,9312000000.0,58.79,2026-04-17
12,000828,主板A股,5,4,5,14,30.8452,0.0823,824000000.0,9.87,2026-04-03
13,000888,主板A股,4,4,6,14,38.0903,0.0875,234000000.0,12.25,2026-04-03
14,300795,创业板,0,6,7,13,,0.2142,137000000.0,11.5,2026-04-22
15,002970,中小板,0,6,7,13,,0.2029,383000000.0,63.98,2026-04-21
16,002553,中小板,0,6,7,13,,0.2653999999999999,346000000.0,25.5,2026-04-21
17,002001,中小板,0,6,7,13,,0.2187,6764000000.0,34.2,2026-04-22
18,688278,科创板,0,6,7,13,,0.3483,1031000000.0,63.03,2026-04-22
19,603605,主板A股,0,5,8,13,,0.1825,1026000000.0,59.24,2026-04-17
20,001256,主板A股,5,3,5,13,34.1741,0.069,81118200.0,20.78,2026-04-03
21,605117,主板A股,0,6,7,13,,0.3265999999999999,3171000000.0,143.99,2026-04-17
22,301680,创业板,0,6,7,13,,0.2410999999999999,179000000.0,104.48,2026-04-17
23,603379,主板A股,0,6,7,13,,0.2232999999999999,1591000000.0,62.55,2026-04-17
24,001210,主板A股,3,4,6,13,39.9319,0.1031,134000000.0,20.35,2026-04-03
25,001337,主板A股,0,6,7,13,44.1311,0.2849,466000000.0,46.97,2026-04-03
26,600211,主板A股,0,6,7,13,,0.2698,938000000.0,41.89,2026-04-17
27,688019,科创板,0,6,7,13,,0.2518,784000000.0,245.41,2026-04-21
28,300760,创业板,0,6,7,13,,0.2158,8136000000.0,158.85,2026-04-21
29,000792,主板A股,0,6,7,13,,0.223,8476000000.000001,36.73,2026-04-22
30,300274,创业板,0,6,7,13,,0.3126,13461000000.000002,136.91,2026-04-22
31,603993,主板A股,0,5,8,13,,0.2661,20339000000.0,20.23,2026-04-17
32,000833,主板A股,4,5,4,13,44.3425,0.1281,480000000.0,23.74,2026-04-03
33,001380,主板A股,4,4,5,13,30.7217,0.1531,275000000.0,19.28,2026-04-03
34,688617,科创板,0,6,7,13,,0.2877,821000000.0000001,251.72,2026-04-22
35,300824,创业板,0,5,8,13,,0.1564,114000000.0,10.26,2026-04-22
